Crop,Variety,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
PADDY,Common,1470,1550,1750,1815,1868,1940,2040,2183,2300,2369
PADDY,Grade 'A',1510,1590,1770,1835,1888,1960,2060,2203,2320,2389
JOWAR,Hybrid,1625,1700,2430,2550,2620,2738,2970,3180,3371,3699
JOWAR,Maldandi,1650,1725,2450,2570,2640,2758,2990,3225,3421,3749
BAJRA,,1330,1425,1950,2000,2150,2250,2350,2500,2625,2775
RAGI,,1725,1900,2897,3150,3295,3377,3578,3846,4290,4886
MAIZE,,1365,1425,1700,1760,1850,1870,1962,2090,2225,2400
TUR (ARHAR),,5050,5450,5675,5800,6000,6300,6600,7000,7550,8000
MOONG,,5225,5575,6975,7050,7196,7275,7755,8558,8682,8768
URAD,,5000,5400,5600,5700,6000,6300,6600,6950,7400,7800
GROUNDNUT,,4220,4450,4890,5090,5275,5550,5850,6377,6783,7263
SUNFLOWER SEED,,3950,4100,5388,5650,5885,6015,6400,6760,7280,7721
SOYABEEN,yellow,2775,3050,3399,3710,3880,3950,4300,4600,4892,5328
SESAMUM,,5000,5300,6249,6485,6855,7307,7830,8635,9267,9846
NIGERSEED,,3825,4050,5877,5940,6695,6930,7287,7734,8717,9537
COTTON,Medium Staple,3860,4020,5150,5255,5515,5726,6080,6620,7121,7710
COTTON,Long Staple,4160,4320,5450,5550,5825,6025,6380,7020,7521,8110
WHEAT,,1625,1735,1840,1925,1975,2015,2125,2275,2425,
BARLEY,,1325,1410,1440,1525,1600,1635,1735,1850,1980,
GRAM,,4000,4400,4620,4875,5100,5230,5335,5440,5650,
MASUR (LENTIL),,3950,4250,4475,4800,5100,5500,6000,6425,6700,
RAPESEED & MUSTARD,,3700,4000,4200,4425,4650,5050,5450,5650,5950,
SAFFLOWER,,3700,4100,4945,5215,5327,5441,5650,5800,5940,
TORIA,,3560,3900,4190,4425,4650,5050,5450,5650,5950,
JUTE,,3200,3500,3700,3950,4225,4500,4750,5050,5335,5650
